Date,Region,Type,Units,Sales
7/11/2020,East,Children's Clothing,18,306
9/23/2020,North,Children's Clothing,14,448
4/2/2020,South,Women's Clothing,17,425
2/28/2020,East,Children's Clothing,26,832
3/19/2020,West,Women's Clothing,3,33
2/5/2020,North,Women's Clothing,33,627
1/24/2020,South,Women's Clothing,12,396
3/25/2020,East,Women's Clothing,29,609
1/3/2020,North,Children's Clothing,18,486
11/3/2020,East,Children's Clothing,34,374
4/16/2020,South,Women's Clothing,16,352
8/9/2020,North,Men's Clothing,,270
5/1/2020,East,Men's Clothing,10,140
8/11/2020,East,Children's Clothing,12,348
1/7/2020,East,Men's Clothing,30,360
11/26/2020,West,Men's Clothing,27,864
6/12/2020,East,Women's Clothing,35,1050
8/20/2020,North,Children's Clothing,18,378
6/16/2020,North,Women's Clothing,34,884
3/8/2020,North,Men's Clothing,,644
9/14/2020,North,Children's Clothing,35,630
6/23/2020,West,Women's Clothing,18,288
7/10/2020,East,Children's Clothing,10,310
1/4/2020,North,Women's Clothing,19,361
6/18/2020,West,Men's Clothing,5,70
5/23/2020,North,Men's Clothing,,240
2/1/2020,East,Men's Clothing,21,420
9/2/2020,North,Children's Clothing,17,561
1/19/2020,East,Men's Clothing,3,63
6/29/2020,East,Women's Clothing,24,504
7/13/2020,West,Children's Clothing,30,450
10/9/2020,West,Men's Clothing,19,513
12/20/2020,East,Women's Clothing,30,930
11/28/2020,West,Men's Clothing,8,168
11/4/2020,East,Men's Clothing,19,475
12/17/2020,West,Children's Clothing,25,575
1/22/2020,North,Women's Clothing,23,276
4/24/2020,North,Men's Clothing,,900
12/30/2020,North,Children's Clothing,26,390
10/27/2020,East,Children's Clothing,18,450
6/6/2020,East,Women's Clothing,28,560
8/10/2020,North,Children's Clothing,22,242
3/17/2020,South,Children's Clothing,33,924
9/6/2020,East,Women's Clothing,11,363
5/11/2020,East,Men's Clothing,35,700
4/29/2020,East,Women's Clothing,14,462
7/30/2020,South,Children's Clothing,18,486
8/23/2020,North,Women's Clothing,27,324
1/31/2020,West,Men's Clothing,16,432
2/13/2020,West,Men's Clothing,24,552
8/14/2020,North,Women's Clothing,7,154
6/14/2020,East,Men's Clothing,32,416
7/5/2020,South,Women's Clothing,21,231
8/23/2020,East,Men's Clothing,20,540
7/30/2020,East,Women's Clothing,21,399
5/1/2020,North,Children's Clothing,31,837
4/20/2020,North,Children's Clothing,24,744
